;frequency;date;# trans;oper #1;oper #2;oper #3;oper #4;oper #5;type #1;type #2;type #3;avg trans amount;avg trans balance;loan date;loan amount;loan duration (mths);loan payments;loan status;district_region;no. of inhabitants;no. of municipalities with inhabitants < 499 ;no. of municipalities with inhabitants 500-1999;no. of municipalities with inhabitants 2000-9999 ;no. of municipalities with inhabitants >10000 ;no. of cities ;ratio of urban inhabitants ;average salary ;unemploymant rate '95 ;unemploymant rate '96 ;no. of enterpreneurs per 1000 inhabitants ;no. of commited crimes '95 ;no. of commited crimes '96 ;card type;issued;birthdate;sex;has disponent
201;monthly issuance;1993-05-08;126.0;4.0;2.0;15.0;33.0;57.0;83.0;9.0;34.0;10765.98;57141.73;1994-09-02;82896;12;6908;1;south Moravia;110643;49;41;4;1;4;51.9;8441;3.45;4.48;115;1879;2252;classic;1994-02-15;1972-02-06;M;True
202;monthly issuance;1993-06-02;76.0;19.0;0.0;0.0;0.0;43.0;39.0;4.0;33.0;7643.91;37265.66;1994-10-03;192744;36;5354;1;south Moravia;110643;49;41;4;1;4;51.9;8441;3.45;4.48;115;1879;2252;;;1971-09-20;F;True
203;monthly issuance;1994-05-17;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;4500.0;14900.0;1994-09-28;189696;24;7904;-1;south Moravia;110643;49;41;4;1;4;51.9;8441;3.45;4.48;115;1879;2252;;;1970-02-19;F;False
204;monthly issuance;1995-11-09;44.0;11.0;0.0;0.0;5.0;19.0;24.0;0.0;20.0;4646.67;40005.48;1996-08-02;89340;60;1489;1;south Moravia;110643;49;41;4;1;4;51.9;8441;3.45;4.48;115;1879;2252;;;1971-11-12;F;True
205;monthly issuance;1995-11-09;44.0;11.0;0.0;0.0;5.0;19.0;24.0;0.0;20.0;4662.47;39644.76;1996-08-02;89340;60;1489;1;south Moravia;110643;49;41;4;1;4;51.9;8441;3.45;4.48;115;1879;2252;;;1971-11-12;F;True
206;monthly issuance;1996-03-21;23.0;9.0;0.0;0.0;0.0;9.0;9.0;0.0;14.0;3853.83;30293.71;1996-09-28;54396;36;1511;1;south Moravia;110643;49;41;4;1;4;51.9;8441;3.45;4.48;115;1879;2252;;;1939-07-27;M;False
207;monthly issuance;1993-05-12;17.0;2.0;0.0;4.0;0.0;3.0;3.0;0.0;14.0;9496.93;46318.55;1993-09-13;87840;24;3660;1;central Bohemia;53921;61;22;1;1;2;41.3;8598;2.77;3.26;123;1597;1875;;;1980-02-16;F;True
208;weekly issuance;1994-07-14;146.0;2.0;0.0;21.0;16.0;87.0;91.0;12.0;43.0;14238.08;49477.32;1996-04-10;44628;12;3719;1;central Bohemia;53921;61;22;1;1;2;41.3;8598;2.77;3.26;123;1597;1875;;;1943-11-26;M;False
209;weekly issuance;1995-08-27;12.0;6.0;0.0;0.0;0.0;3.0;3.0;0.0;9.0;16007.96;44763.46;1996-02-10;61656;24;2569;-1;central Bohemia;53921;61;22;1;1;2;41.3;8598;2.77;3.26;123;1597;1875;;;1953-12-25;F;False
210;monthly issuance;1995-10-21;56.0;13.0;0.0;0.0;0.0;32.0;32.0;0.0;24.0;7310.24;41729.62;1996-10-24;262980;60;4383;1;central Bohemia;53921;61;22;1;1;2;41.3;8598;2.77;3.26;123;1597;1875;;;1966-03-09;F;False
211;monthly issuance;1993-06-05;71.0;15.0;0.0;0.0;0.0;44.0;44.0;0.0;27.0;6578.12;34084.46;1994-06-04;300204;36;8339;1;west Bohemia;67298;71;19;10;0;7;43.8;8561;0.65;1.29;110;1029;1127;;;1964-03-13;M;False
212;monthly issuance;1996-06-08;12.0;6.0;0.0;0.0;0.0;3.0;3.0;0.0;9.0;6379.08;25896.47;1996-10-10;64656;48;1347;1;west Bohemia;67298;71;19;10;0;7;43.8;8561;0.65;1.29;110;1029;1127;;;1947-03-19;M;True
213;monthly issuance;1993-06-06;126.0;33.0;0.0;0.0;24.0;56.0;72.0;8.0;46.0;12746.59;51992.85;1994-07-30;299088;36;8308;-1;north Moravia;106054;38;25;6;2;6;63.1;8110;5.77;6.55;109;3244;3079;;;1966-12-10;F;False
214;weekly issuance;1993-11-22;27.0;10.0;0.0;0.0;0.0;5.0;5.0;0.0;22.0;5645.47;32555.82;1994-08-23;45768;12;3814;1;north Moravia;106054;38;25;6;2;6;63.1;8110;5.77;6.55;109;3244;3079;;;1977-05-27;F;False
215;monthly issuance;1995-10-14;107.0;16.0;0.0;0.0;40.0;38.0;78.0;0.0;29.0;4550.3;30869.78;1996-12-27;129408;24;5392;1;north Moravia;106054;38;25;6;2;6;63.1;8110;5.77;6.55;109;3244;3079;;;1962-10-19;F;False
216;monthly issuance;1993-06-07;84.0;27.0;0.0;0.0;11.0;32.0;43.0;0.0;41.0;4538.9;25533.21;1994-09-26;87816;12;7318;1;north Bohemia;105058;32;19;7;2;10;81.0;9272;2.80;3.22;118;4340;4505;;;1961-05-02;M;True
217;monthly issuance;1995-05-15;77.0;2.0;1.0;15.0;0.0;45.0;43.0;3.0;31.0;9452.94;44829.54;1996-08-22;91152;24;3798;1;north Bohemia;105058;32;19;7;2;10;81.0;9272;2.80;3.22;118;4340;4505;classic;1996-08-08;1942-12-10;M;False
218;monthly issuance;1996-03-05;15.0;1.0;0.0;5.0;0.0;5.0;5.0;0.0;10.0;15082.59;51279.55;1996-07-31;162468;36;4513;1;north Bohemia;105058;32;19;7;2;10;81.0;9272;2.80;3.22;118;4340;4505;;;1957-08-23;F;True
219;monthly issuance;1993-06-08;108.0;31.0;0.0;0.0;0.0;63.0;55.0;8.0;45.0;11716.78;46341.29;1995-03-16;99696;48;2077;-1;west Bohemia;88757;60;33;3;2;10;61.7;8554;2.47;2.68;113;1822;2218;;;1971-06-25;F;False
220;weekly issuance;1993-06-11;129.0;2.0;0.0;17.0;39.0;54.0;91.0;2.0;36.0;9244.2;58336.31;1994-12-04;205200;36;5700;1;south Moravia;161954;21;37;20;3;8;48.0;8720;3.73;4.5;116;3729;3651;;;1963-01-25;F;False
221;monthly issuance;1993-06-16;102.0;16.0;0.0;0.0;18.0;42.0;60.0;0.0;42.0;5114.5;32354.03;1994-08-03;189300;60;3155;1;east Bohemia;162580;83;26;5;1;6;72.8;9538;1.51;1.81;111;6079;5410;;;1953-12-05;M;False
222;monthly issuance;1993-08-24;94.0;20.0;0.0;0.0;0.0;56.0;56.0;0.0;38.0;8111.68;45582.45;1995-03-04;28248;24;1177;1;east Bohemia;162580;83;26;5;1;6;72.8;9538;1.51;1.81;111;6079;5410;;;1970-02-10;F;False
223;monthly issuance;1995-04-13;59.0;17.0;0.0;0.0;5.0;27.0;32.0;0.0;27.0;3730.2;27951.91;1996-03-04;213300;36;5925;1;east Bohemia;162580;83;26;5;1;6;72.8;9538;1.51;1.81;111;6079;5410;;;1964-04-22;M;False
224;monthly issuance;1995-10-10;69.0;22.0;0.0;0.0;0.0;31.0;31.0;0.0;38.0;13503.13;72968.38;1996-09-19;174048;48;3626;1;east Bohemia;162580;83;26;5;1;6;72.8;9538;1.51;1.81;111;6079;5410;;;1952-02-16;F;False
225;monthly issuance;1993-06-18;84.0;23.0;0.0;0.0;10.0;40.0;45.0;5.0;34.0;10778.35;44602.64;1994-05-17;272520;60;4542;1;central Bohemia;92084;55;29;4;3;5;46.7;10124;0.56;0.54;141;3810;4316;;;1939-09-02;M;True
226;monthly issuance;1994-01-21;42.0;12.0;0.0;0.0;0.0;17.0;16.0;1.0;25.0;11368.77;60743.96;1994-08-07;172080;48;3585;1;central Bohemia;92084;55;29;4;3;5;46.7;10124;0.56;0.54;141;3810;4316;;;1957-03-05;F;False
227;issuance after transaction;1995-01-08;26.0;1.0;0.0;6.0;2.0;11.0;13.0;0.0;13.0;10807.38;54128.57;1995-07-10;98592;24;4108;1;central Bohemia;92084;55;29;4;3;5;46.7;10124;0.56;0.54;141;3810;4316;;;1963-12-24;F;False
228;monthly issuance;1996-04-20;30.0;2.0;0.0;7.0;0.0;14.0;14.0;0.0;16.0;9151.15;39426.07;1996-12-04;155616;48;3242;1;central Bohemia;92084;55;29;4;3;5;46.7;10124;0.56;0.54;141;3810;4316;;;1959-10-25;F;False
229;monthly issuance;1993-06-20;13.0;1.0;0.0;4.0;0.0;4.0;4.0;0.0;9.0;14122.58;44131.17;1993-11-04;117024;24;4876;1;south Bohemia;177686;69;27;10;1;9;74.8;10045;1.42;1.71;135;6604;6295;;;1935-10-03;M;False
230;weekly issuance;1995-07-17;94.0;29.0;0.0;0.0;0.0;47.0;42.0;5.0;47.0;13519.83;61799.24;1996-05-30;173016;36;4806;1;south Bohemia;177686;69;27;10;1;9;74.8;10045;1.42;1.71;135;6604;6295;;;1945-02-23;F;False
231;monthly issuance;1996-01-19;50.0;13.0;0.0;0.0;6.0;22.0;28.0;0.0;22.0;8521.96;37436.42;1996-11-18;421008;48;8771;1;south Bohemia;177686;69;27;10;1;9;74.8;10045;1.42;1.71;135;6604;6295;;;1953-06-01;M;False
232;monthly issuance;1996-03-27;38.0;2.0;0.0;8.0;4.0;17.0;18.0;3.0;17.0;13585.03;40524.46;1996-11-15;321180;60;5353;1;south Bohemia;177686;69;27;10;1;9;74.8;10045;1.42;1.71;135;6604;6295;;;1936-09-07;M;True
233;issuance after transaction;1993-07-05;19.0;2.0;0.0;5.0;0.0;7.0;7.0;0.0;12.0;7121.92;37510.49;1993-12-08;93888;36;2608;1;south Moravia;86513;38;36;5;1;5;50.5;8288;3.79;4.52;110;1562;1460;;;1950-10-20;F;False
234;monthly issuance;1993-11-05;46.0;11.0;0.0;0.0;10.0;17.0;27.0;0.0;19.0;3932.5;30533.37;1994-07-05;4980;12;415;1;south Moravia;86513;38;36;5;1;5;50.5;8288;3.79;4.52;110;1562;1460;;;1952-07-26;F;False
235;monthly issuance;1994-08-29;17.0;6.0;0.0;0.0;0.0;3.0;3.0;0.0;14.0;8402.38;36999.52;1995-01-03;288468;36;8013;1;south Moravia;86513;38;36;5;1;5;50.5;8288;3.79;4.52;110;1562;1460;;;1958-10-26;F;False
236;monthly issuance;1993-07-20;109.0;25.0;0.0;0.0;0.0;65.0;65.0;0.0;44.0;3896.38;28250.11;1995-03-16;103680;60;1728;-1;east Bohemia;95907;87;25;5;2;7;59.1;8388;2.41;2.94;87;1658;1668;;;1971-06-24;M;False
237;monthly issuance;1994-02-06;177.0;27.0;0.0;0.0;55.0;72.0;127.0;0.0;50.0;4382.09;31814.27;1996-01-03;98832;48;2059;1;east Bohemia;95907;87;25;5;2;7;59.1;8388;2.41;2.94;87;1658;1668;;;1970-09-10;F;False
238;monthly issuance;1993-07-24;65.0;1.0;0.0;10.0;12.0;33.0;43.0;2.0;20.0;15218.43;53379.13;1994-05-21;97632;12;8136;1;south Bohemia;70646;94;14;3;1;4;58.4;8547;2.65;3.64;120;1563;1542;;;1968-09-07;F;False
239;weekly issuance;1993-08-29;51.0;12.0;0.0;0.0;0.0;25.0;23.0;2.0;26.0;5774.42;23979.01;1994-11-12;192552;24;8023;-1;south Bohemia;70646;94;14;3;1;4;58.4;8547;2.65;3.64;120;1563;1542;;;1963-12-31;F;False
240;monthly issuance;1994-05-10;144.0;21.0;0.0;0.0;39.0;52.0;91.0;0.0;53.0;5581.28;34922.88;1995-10-14;266220;60;4437;1;south Bohemia;70646;94;14;3;1;4;58.4;8547;2.65;3.64;120;1563;1542;;;1965-02-17;F;False
241;weekly issuance;1994-08-01;82.0;17.0;0.0;0.0;0.0;47.0;44.0;3.0;35.0;7562.67;34740.7;1996-02-03;128988;36;3583;-1;south Bohemia;70646;94;14;3;1;4;58.4;8547;2.65;3.64;120;1563;1542;;;1939-08-15;M;False
242;monthly issuance;1994-12-02;128.0;3.0;0.0;17.0;24.0;50.0;73.0;1.0;54.0;6331.02;36907.46;1996-05-06;220620;60;3677;1;south Bohemia;70646;94;14;3;1;4;58.4;8547;2.65;3.64;120;1563;1542;;;1943-08-15;F;False
243;monthly issuance;1993-07-28;36.0;3.0;0.0;8.0;3.0;15.0;16.0;2.0;18.0;9999.52;32558.53;1994-03-16;91200;24;3800;1;north Bohemia;119895;17;4;3;2;4;89.9;10446;7.34;9.4;90;4947;4743;;;1955-08-26;F;True
244;monthly issuance;1995-02-06;51.0;14.0;0.0;0.0;10.0;18.0;28.0;0.0;23.0;2445.33;23255.15;1995-11-23;73056;48;1522;1;north Bohemia;119895;17;4;3;2;4;89.9;10446;7.34;9.4;90;4947;4743;;;1970-12-18;M;True
245;monthly issuance;1995-04-26;19.0;9.0;0.0;0.0;0.0;5.0;5.0;0.0;14.0;16708.06;55315.17;1995-10-31;73836;36;2051;1;north Bohemia;119895;17;4;3;2;4;89.9;10446;7.34;9.4;90;4947;4743;;;1967-05-29;F;False
246;issuance after transaction;1995-11-23;65.0;13.0;0.0;0.0;24.0;16.0;40.0;0.0;25.0;5789.86;28359.26;1996-12-11;123408;24;5142;1;north Bohemia;119895;17;4;3;2;4;89.9;10446;7.34;9.4;90;4947;4743;gold;1996-07-03;1964-10-14;M;False
247;monthly issuance;1993-08-04;147.0;2.0;0.0;18.0;41.0;69.0;101.0;9.0;37.0;9898.48;47220.13;1995-01-18;68112;12;5676;1;north Moravia;138032;67;30;4;2;5;64.6;8819;5.38;5.66;99;4063;4505;;;1977-11-30;F;False
248;monthly issuance;1993-10-10;13.0;6.0;0.0;0.0;0.0;3.0;3.0;0.0;10.0;8281.61;33229.11;1994-03-01;182628;36;5073;1;north Moravia;138032;67;30;4;2;5;64.6;8819;5.38;5.66;99;4063;4505;;;1959-05-23;M;False
249;monthly issuance;1993-08-05;117.0;32.0;0.0;0.0;12.0;56.0;65.0;3.0;49.0;12180.79;63857.24;1995-01-08;48624;24;2026;1;east Bohemia;139012;59;41;8;3;10;61.9;8363;2.52;3.49;108;2564;2799;;;1961-09-30;M;False
250;monthly issuance;1993-08-16;68.0;1.0;0.0;13.0;0.0;42.0;38.0;4.0;26.0;14438.21;46230.34;1994-09-11;209184;48;4358;1;east Bohemia;139012;59;41;8;3;10;61.9;8363;2.52;3.49;108;2564;2799;;;1953-06-18;M;False
251;monthly issuance;1993-11-03;156.0;36.0;0.0;0.0;42.0;62.0;95.0;9.0;52.0;8573.48;49916.09;1995-04-05;158976;48;3312;1;east Bohemia;139012;59;41;8;3;10;61.9;8363;2.52;3.49;108;2564;2799;;;1939-01-09;M;False
252;weekly issuance;1994-07-10;76.0;14.0;0.0;0.0;10.0;36.0;43.0;3.0;30.0;7289.58;30639.86;1995-12-11;27984;12;2332;1;east Bohemia;139012;59;41;8;3;10;61.9;8363;2.52;3.49;108;2564;2799;;;1949-02-16;M;False
253;monthly issuance;1995-01-25;100.0;29.0;0.0;0.0;0.0;58.0;52.0;6.0;42.0;14274.57;59647.42;1996-02-21;290700;60;4845;-1;east Bohemia;139012;59;41;8;3;10;61.9;8363;2.52;3.49;108;2564;2799;;;1959-02-27;F;False
254;monthly issuance;1995-03-14;102.0;1.0;0.0;20.0;0.0;62.0;58.0;4.0;40.0;14376.88;75686.07;1996-11-19;72120;12;6010;1;east Bohemia;139012;59;41;8;3;10;61.9;8363;2.52;3.49;108;2564;2799;;;1952-11-10;F;True
255;monthly issuance;1995-11-09;79.0;15.0;0.0;0.0;24.0;32.0;51.0;5.0;23.0;9939.87;46772.32;1996-07-27;133968;48;2791;1;east Bohemia;139012;59;41;8;3;10;61.9;8363;2.52;3.49;108;2564;2799;classic;1996-05-31;1943-05-30;M;True
256;monthly issuance;1996-02-04;18.0;8.0;0.0;0.0;0.0;5.0;5.0;0.0;13.0;14106.12;45100.42;1996-08-22;141648;24;5902;1;east Bohemia;139012;59;41;8;3;10;61.9;8363;2.52;3.49;108;2564;2799;;;1952-07-17;M;True
257;monthly issuance;1993-08-10;95.0;21.0;0.0;0.0;0.0;59.0;55.0;4.0;36.0;6726.89;26746.53;1995-01-03;177744;48;3703;-1;north Moravia;161227;5;35;11;4;10;69.7;8678;5.93;5.57;102;4980;4595;;;1972-03-13;M;False
258;monthly issuance;1994-12-23;89.0;3.0;0.0;15.0;10.0;47.0;53.0;4.0;32.0;6653.9;31791.33;1996-03-21;154656;48;3222;1;north Moravia;161227;5;35;11;4;10;69.7;8678;5.93;5.57;102;4980;4595;;;1956-11-28;M;False
259;monthly issuance;1993-08-28;58.0;20.0;0.0;0.0;0.0;28.0;28.0;0.0;30.0;3499.29;19256.89;1994-07-08;276660;36;7685;-1;south Moravia;124605;11;42;14;1;8;46.0;8772;4.69;4.98;126;2854;3158;;;1949-05-18;M;False
260;monthly issuance;1993-10-14;42.0;3.0;0.0;8.0;4.0;20.0;20.0;4.0;18.0;10168.95;38426.73;1994-06-29;244560;60;4076;1;south Moravia;124605;11;42;14;1;8;46.0;8772;4.69;4.98;126;2854;3158;;;1967-07-19;F;False
261;monthly issuance;1993-12-02;61.0;12.0;0.0;0.0;12.0;27.0;36.0;3.0;22.0;8953.22;49084.38;1994-11-03;123696;48;2577;1;south Moravia;124605;11;42;14;1;8;46.0;8772;4.69;4.98;126;2854;3158;;;1940-08-27;M;False
262;monthly issuance;1993-09-07;102.0;2.0;0.0;13.0;34.0;41.0;70.0;5.0;27.0;9343.39;57219.57;1994-09-30;141240;24;5885;1;east Bohemia;102609;75;33;2;3;6;52.0;8187;4.83;5.45;94;2123;2134;;;1962-09-11;M;False
263;monthly issuance;1993-09-13;16.0;7.0;0.0;0.0;0.0;5.0;5.0;0.0;11.0;14293.41;44735.43;1994-02-23;197748;36;5493;1;east Bohemia;102609;75;33;2;3;6;52.0;8187;4.83;5.45;94;2123;2134;;;1970-05-05;F;True
264;monthly issuance;1995-01-03;77.0;21.0;0.0;0.0;0.0;45.0;37.0;8.0;32.0;14958.59;64881.31;1996-01-01;135360;48;2820;1;east Bohemia;102609;75;33;2;3;6;52.0;8187;4.83;5.45;94;2123;2134;junior;1995-10-24;1975-09-24;M;False
265;monthly issuance;1993-09-08;37.0;11.0;0.0;0.0;0.0;18.0;18.0;0.0;19.0;10704.75;56927.45;1994-05-26;25944;24;1081;1;north Bohemia;118650;8;8;5;1;3;85.6;9832;3.32;4.48;114;6445;5471;;;1960-05-21;F;False
266;monthly issuance;1995-01-15;16.0;7.0;0.0;0.0;1.0;4.0;5.0;0.0;11.0;7546.89;30953.14;1995-06-24;198240;24;8260;1;north Bohemia;118650;8;8;5;1;3;85.6;9832;3.32;4.48;114;6445;5471;;;1956-02-18;M;False
267;monthly issuance;1993-09-13;137.0;27.0;0.0;0.0;34.0;55.0;89.0;0.0;48.0;2567.84;24643.28;1995-07-03;60000;60;1000;1;north Moravia;226122;32;50;7;4;4;62.6;8994;3.80;4.79;110;9672;9208;;;1946-10-15;M;False
268;issuance after transaction;1993-10-25;29.0;12.0;0.0;0.0;0.0;9.0;9.0;0.0;20.0;16951.03;63579.22;1994-05-10;193968;36;5388;1;north Moravia;226122;32;50;7;4;4;62.6;8994;3.80;4.79;110;9672;9208;;;1972-12-03;M;False
269;weekly issuance;1994-08-30;130.0;32.0;0.0;0.0;19.0;59.0;75.0;3.0;52.0;6844.43;33219.9;1996-05-24;161496;36;4486;1;north Moravia;226122;32;50;7;4;4;62.6;8994;3.80;4.79;110;9672;9208;;;1971-07-24;M;False
270;weekly issuance;1995-01-17;56.0;1.0;0.0;11.0;0.0;34.0;31.0;3.0;22.0;16045.61;58185.59;1995-12-31;309600;48;6450;1;north Moravia;226122;32;50;7;4;4;62.6;8994;3.80;4.79;110;9672;9208;;;1975-06-26;M;False
271;monthly issuance;1995-01-18;35.0;1.0;0.0;8.0;4.0;15.0;19.0;0.0;16.0;17429.0;56105.5;1995-09-16;309552;48;6449;1;north Moravia;226122;32;50;7;4;4;62.6;8994;3.80;4.79;110;9672;9208;;;1935-01-29;M;False
272;monthly issuance;1995-01-21;172.0;26.0;0.0;0.0;36.0;66.0;102.0;0.0;70.0;4895.97;44197.51;1996-12-12;155616;48;3242;1;north Moravia;226122;32;50;7;4;4;62.6;8994;3.80;4.79;110;9672;9208;;;1971-04-10;F;True
273;monthly issuance;1995-01-29;57.0;1.0;0.0;10.0;6.0;30.0;33.0;3.0;21.0;12666.78;49107.07;1995-12-04;217152;36;6032;1;north Moravia;226122;32;50;7;4;4;62.6;8994;3.80;4.79;110;9672;9208;classic;1995-11-22;1974-07-07;M;False
274;monthly issuance;1996-03-09;25.0;12.0;0.0;0.0;0.0;9.0;9.0;0.0;16.0;19621.45;66292.37;1996-07-28;187104;24;7796;1;north Moravia;226122;32;50;7;4;4;62.6;8994;3.80;4.79;110;9672;9208;;;1977-05-10;F;False
275;monthly issuance;1996-05-15;11.0;1.0;0.0;4.0;0.0;2.0;2.0;0.0;9.0;8271.87;28977.44;1996-09-11;29448;12;2454;-1;north Moravia;226122;32;50;7;4;4;62.6;8994;3.80;4.79;110;9672;9208;;;1947-10-21;M;False
276;monthly issuance;1993-10-25;74.0;2.0;0.0;13.0;9.0;37.0;42.0;4.0;28.0;7353.53;33658.62;1994-12-11;199680;60;3328;1;central Bohemia;95616;65;30;4;1;6;51.4;9307;3.85;4.43;118;2616;3040;;;1949-05-23;M;False
277;monthly issuance;1994-03-18;58.0;12.0;0.0;0.0;7.0;29.0;36.0;0.0;22.0;8499.93;33687.86;1995-02-17;538500;60;8975;1;central Bohemia;95616;65;30;4;1;6;51.4;9307;3.85;4.43;118;2616;3040;;;1960-06-28;M;False
278;weekly issuance;1994-11-15;49.0;17.0;0.0;0.0;0.0;25.0;18.0;7.0;24.0;10411.72;49651.89;1995-07-25;285600;60;4760;1;central Bohemia;95616;65;30;4;1;6;51.4;9307;3.85;4.43;118;2616;3040;;;1980-12-07;F;True
279;monthly issuance;1995-06-19;105.0;14.0;0.0;0.0;36.0;42.0;78.0;0.0;27.0;5793.88;45183.35;1996-08-04;155640;24;6485;1;central Bohemia;95616;65;30;4;1;6;51.4;9307;3.85;4.43;118;2616;3040;;;1943-01-07;F;False
280;monthly issuance;1993-11-14;165.0;48.0;0.0;0.0;17.0;81.0;87.0;11.0;67.0;14454.31;63889.87;1995-06-13;139536;24;5814;1;south Moravia;117897;139;28;5;1;6;53.8;8814;4.76;5.74;107;2112;2059;;;1941-09-13;F;False
281;monthly issuance;1994-02-08;69.0;2.0;0.0;12.0;0.0;43.0;40.0;3.0;26.0;14188.26;68377.06;1995-02-06;43164;12;3597;1;south Moravia;117897;139;28;5;1;6;53.8;8814;4.76;5.74;107;2112;2059;;;1976-01-06;F;False
282;monthly issuance;1994-06-17;51.0;13.0;0.0;0.0;0.0;29.0;29.0;0.0;22.0;5452.34;31185.16;1995-04-25;225420;60;3757;1;south Moravia;117897;139;28;5;1;6;53.8;8814;4.76;5.74;107;2112;2059;;;1948-08-03;F;False
283;monthly issuance;1994-10-01;147.0;1.0;2.0;22.0;34.0;66.0;101.0;1.0;45.0;8708.72;36480.19;1996-08-06;54024;12;4502;1;south Moravia;117897;139;28;5;1;6;53.8;8814;4.76;5.74;107;2112;2059;classic;1995-06-13;1968-04-13;M;False
284;monthly issuance;1993-11-21;28.0;1.0;0.0;6.0;1.0;14.0;11.0;4.0;13.0;16935.55;53976.29;1994-06-03;151560;24;6315;1;south Moravia;125832;151;41;2;3;5;48.3;8512;3.51;4.12;102;2247;2103;;;1953-05-05;M;False
285;monthly issuance;1993-11-26;30.0;7.0;0.0;0.0;8.0;10.0;18.0;0.0;12.0;6642.55;38709.83;1994-05-31;104808;12;8734;1;south Moravia;125832;151;41;2;3;5;48.3;8512;3.51;4.12;102;2247;2103;;;1939-11-30;M;True
286;monthly issuance;1994-01-14;103.0;21.0;0.0;0.0;0.0;65.0;65.0;0.0;38.0;8579.53;27778.75;1995-07-09;465072;48;9689;1;south Moravia;125832;151;41;2;3;5;48.3;8512;3.51;4.12;102;2247;2103;;;1948-05-08;M;True
287;monthly issuance;1994-04-08;16.0;1.0;0.0;5.0;1.0;5.0;6.0;0.0;10.0;24948.66;63494.2;1994-08-27;79632;24;3318;1;south Moravia;125832;151;41;2;3;5;48.3;8512;3.51;4.12;102;2247;2103;;;1959-08-10;F;False
288;monthly issuance;1994-10-22;182.0;38.0;0.0;0.0;48.0;76.0;117.0;7.0;58.0;11574.08;60030.74;1996-06-03;368880;60;6148;1;south Moravia;125832;151;41;2;3;5;48.3;8512;3.51;4.12;102;2247;2103;;;1974-08-04;M;True
289;monthly issuance;1993-11-26;95.0;15.0;0.0;0.0;20.0;46.0;66.0;0.0;29.0;7707.41;43846.98;1995-02-12;79920;60;1332;1;west Bohemia;170449;0;0;0;1;1;100.0;10787;2.64;3.09;131;6041;6261;;;1953-04-05;M;False
290;monthly issuance;1995-02-08;12.0;6.0;0.0;0.0;0.0;3.0;3.0;0.0;9.0;6943.35;27626.08;1995-06-13;29784;24;1241;1;west Bohemia;170449;0;0;0;1;1;100.0;10787;2.64;3.09;131;6041;6261;;;1969-12-25;F;True
291;weekly issuance;1995-02-13;60.0;17.0;0.0;0.0;6.0;24.0;30.0;0.0;30.0;9995.91;35914.85;1996-04-21;249312;48;5194;1;west Bohemia;170449;0;0;0;1;1;100.0;10787;2.64;3.09;131;6041;6261;;;1955-05-21;M;False
292;monthly issuance;1993-12-11;120.0;22.0;0.0;0.0;33.0;50.0;83.0;0.0;37.0;5453.37;36063.79;1995-04-28;248148;36;6893;1;west Bohemia;72541;66;26;10;0;8;36.9;8594;1.62;2.01;112;1580;1525;;;1940-07-24;F;False
293;monthly issuance;1994-02-25;75.0;24.0;0.0;0.0;8.0;30.0;38.0;0.0;37.0;3313.36;22927.5;1995-04-01;156672;36;4352;1;west Bohemia;72541;66;26;10;0;8;36.9;8594;1.62;2.01;112;1580;1525;;;1956-04-25;F;False
294;monthly issuance;1994-09-03;186.0;24.0;8.0;0.0;68.0;65.0;141.0;0.0;45.0;4858.98;37213.41;1996-06-15;30060;60;501;1;west Bohemia;72541;66;26;10;0;8;36.9;8594;1.62;2.01;112;1580;1525;classic;1996-01-01;1951-09-06;M;False
295;monthly issuance;1993-12-13;88.0;21.0;0.0;0.0;0.0;50.0;40.0;10.0;38.0;10834.72;42084.31;1995-05-01;187224;24;7801;-1;south Moravia;114200;101;41;4;1;4;43.7;8403;5.74;5.72;105;2157;2718;;;1947-10-08;M;False
296;monthly issuance;1994-07-09;14.0;1.0;0.0;4.0;0.0;3.0;3.0;0.0;11.0;9311.16;41660.39;1994-10-28;98184;24;4091;1;south Moravia;114200;101;41;4;1;4;43.7;8403;5.74;5.72;105;2157;2718;;;1945-06-12;F;False
297;issuance after transaction;1994-07-22;144.0;49.0;0.0;0.0;0.0;80.0;76.0;4.0;64.0;17859.13;75924.24;1995-11-22;244368;48;5091;1;south Moravia;114200;101;41;4;1;4;43.7;8403;5.74;5.72;105;2157;2718;;;1970-04-02;M;False
298;monthly issuance;1995-02-20;71.0;4.0;0.0;11.0;14.0;31.0;43.0;2.0;26.0;6453.48;33990.42;1996-02-13;113544;36;3154;1;south Moravia;114200;101;41;4;1;4;43.7;8403;5.74;5.72;105;2157;2718;;;1942-09-18;M;False
299;monthly issuance;1995-09-09;35.0;2.0;0.0;8.0;3.0;15.0;17.0;1.0;17.0;11032.89;47938.07;1996-04-15;200976;48;4187;1;south Moravia;114200;101;41;4;1;4;43.7;8403;5.74;5.72;105;2157;2718;;;1955-02-20;M;False
300;monthly issuance;1994-05-21;116.0;31.0;0.0;0.0;15.0;51.0;66.0;0.0;50.0;3217.27;24377.37;1996-01-12;165120;60;2752;1;east Bohemia;121947;37;28;7;3;11;70.5;8541;2.51;2.97;131;3496;3839;;;1950-03-18;F;True
301;monthly issuance;1994-06-29;96.0;19.0;0.0;0.0;9.0;40.0;49.0;0.0;47.0;3377.43;30461.4;1995-09-03;85860;60;1431;1;central Bohemia;88884;80;26;6;2;5;46.7;8507;1.67;1.85;132;2159;2674;;;1955-10-20;F;False
